"Fact_ID","Category","Subcategory","Topic","Question","Answer","Keywords","Source_Type"
"F00195","Maintenance Practices","Strategy","Preventive vs Predictive Maintenance","What is the difference between preventive and predictive maintenance in refineries?","Preventive maintenance follows a fixed time- or usage-based schedule regardless of equipment condition, while predictive maintenance uses condition-monitoring data such as vibration, temperature, and oil analysis to schedule maintenance only when needed.","Preventive vs Predictive Maintenance, Maintenance Practices, refinery engineering","Industry Publication"
"F00196","Equipment Used","Pumps","Centrifugal Pumps in Refineries","What type of pumps are most commonly used in oil refineries?","Centrifugal pumps are the most common type used in refineries for transferring liquids such as crude oil, intermediate streams, and finished products, owing to their reliability, continuous flow capability, and relatively low maintenance compared to positive displacement types.","Centrifugal Pumps in Refineries, Equipment Used, refinery engineering","Industry Publication"
"F00197","Compressors","Types","Reciprocating vs Centrifugal Compressors","What types of compressors are used in refinery gas services?","Refineries use reciprocating compressors for high-pressure, lower-flow applications such as hydrogen recycle, and centrifugal compressors for high-flow, continuous services such as fuel gas and process air compression.","Reciprocating vs Centrifugal Compressors, Compressors, refinery engineering","Industry Publication"
"F00198","Heat Exchangers","Types","Shell-and-Tube Heat Exchangers","What is a shell-and-tube heat exchanger and where is it used in refineries?","A shell-and-tube heat exchanger transfers heat between two fluids flowing through a bundle of tubes inside an outer shell, and is the most widely used heat exchanger type in refineries for crude preheat trains and product cooling.","Shell-and-Tube Heat Exchangers, Heat Exchangers, refinery engineering","Industry Publication"
"F00199","Boilers","Function","Refinery Steam Boilers","What is the role of boilers in refinery utilities?","Boilers in refinery utility areas generate steam at various pressure levels used for process heating, driving steam turbines, and supplying utility steam to multiple process units throughout the plant.","Refinery Steam Boilers, Boilers, refinery engineering","Industry Publication"
"F00200","Turbines","Types","Steam Turbines in Refineries","How are steam turbines used in refineries?","Steam turbines in refineries are used to drive large rotating equipment such as compressors and pumps, and in some cases to generate electricity through turbo-generators, often as a more energy-efficient alternative to electric motor drives.","Steam Turbines in Refineries, Turbines, refinery engineering","Industry Publication"
"F00201","Storage Tanks","Types","Fixed Roof vs Floating Roof Tanks","What is the difference between fixed-roof and floating-roof storage tanks?","Fixed-roof tanks have a stationary top and are typically used for less volatile products, while floating-roof tanks have a roof that rises and falls with liquid level, reducing vapor space and evaporation losses for volatile products like crude oil and gasoline.","Fixed Roof vs Floating Roof Tanks, Storage Tanks, refinery engineering","Industry Publication"
"F00202","Valves","Types","Common Refinery Valve Types","What types of valves are commonly used in refinery piping systems?","Common refinery valve types include gate valves for on/off isolation, globe valves for throttling, ball valves for quick shutoff, and control valves with actuators for automated flow regulation.","Common Refinery Valve Types, Valves, refinery engineering","Industry Publication"
"F00203","Utilities","Overview","Refinery Utility Systems","What utility systems support refinery process operations?","Refinery utility systems typically include steam generation, compressed air, cooling water, nitrogen supply, fuel gas systems, and electrical power distribution, all supporting the core process units.","Refinery Utility Systems, Utilities, refinery engineering","Industry Publication"
"F00204","Water Treatment","Purpose","Refinery Water Treatment Plant","Why do refineries need water treatment plants?","Refineries need water treatment plants to produce demineralized water for boiler feed, cooling water for heat rejection, and to ensure water quality meets process and environmental requirements.","Refinery Water Treatment Plant, Water Treatment, refinery engineering","Industry Publication"
"F00205","Wastewater Treatment","Process","Effluent Treatment Plant","What is the role of an Effluent Treatment Plant (ETP) in a refinery?","An Effluent Treatment Plant (ETP) treats wastewater generated from refinery operations to remove oil, suspended solids, and contaminants before discharge or reuse, helping refineries meet environmental discharge norms.","Effluent Treatment Plant, Wastewater Treatment, refinery engineering","Industry Publication"
"F00206","Energy Management","Practices","Energy Efficiency in Refineries","How do refineries manage energy efficiency?","Refineries manage energy efficiency through heat integration, waste heat recovery, energy audits, process optimization, and adoption of energy management systems aligned with standards such as ISO 50001.","Energy Efficiency in Refineries, Energy Management, refinery engineering","Industry Publication"
"F00207","Quality Control","Function","Refinery Quality Control Laboratory","What is the function of a refinery quality control laboratory?","A refinery quality control laboratory tests crude oil, intermediate streams, and finished products against specification parameters such as density, sulphur content, octane/cetane number, and flash point to ensure product quality before dispatch.","Refinery Quality Control Laboratory, Quality Control, refinery engineering","Industry Publication"
"F00208","Laboratory Operations","Testing","Common Petroleum Product Tests","What are some common laboratory tests performed on petroleum products?","Common petroleum product tests include distillation range, flash point, sulphur content, density/API gravity, viscosity, octane/cetane number, and water content, conducted to verify products meet regulatory and commercial specifications.","Common Petroleum Product Tests, Laboratory Operations, refinery engineering","Industry Publication"
"F00209","Industrial Automation","Control Systems","Refinery Process Automation","How are refinery process units automated?","Refinery process units are automated using Distributed Control Systems (DCS) that continuously monitor and control process variables such as temperature, pressure, and flow, supplemented by Programmable Logic Controllers (PLCs) for specific equipment control.","Refinery Process Automation, Industrial Automation, refinery engineering","Industry Publication"
"F00210","DCS Systems","Function","Distributed Control System Role","What is the role of a Distributed Control System (DCS) in a refinery?","A Distributed Control System (DCS) integrates control of multiple refinery process units from centralized control rooms, allowing operators to monitor real-time data, adjust setpoints, and respond to alarms across the plant.","Distributed Control System Role, DCS Systems, refinery engineering","Industry Publication"
"F00211","SCADA Systems","Application","SCADA in Pipeline Operations","How is SCADA used in pipeline operations?","SCADA (Supervisory Control and Data Acquisition) systems are used in pipeline operations to remotely monitor flow rates, pressures, and valve status along pipeline routes, and to detect leaks or operational anomalies in real time.","SCADA in Pipeline Operations, SCADA Systems, refinery engineering","Industry Publication"
"F00212","Reliability Engineering","Metrics","Equipment Reliability Metrics","What metrics are used to measure refinery equipment reliability?","Common reliability metrics in refineries include Mean Time Between Failures (MTBF), Mean Time To Repair (MTTR), and overall equipment availability, used to benchmark and improve maintenance program effectiveness.","Equipment Reliability Metrics, Reliability Engineering, refinery engineering","Industry Publication"
"F00213","Turnaround Maintenance","Definition","Refinery Turnaround","What is a refinery turnaround?","A refinery turnaround is a planned, periodic shutdown of a unit or the entire refinery for inspection, maintenance, equipment replacement, and catalyst changeout, typically scheduled every few years to maintain safe and efficient operation.","Refinery Turnaround, Turnaround Maintenance, refinery engineering","Industry Publication"
"F00214","Inspection Systems","Techniques","Non-Destructive Testing in Refineries","What non-destructive testing techniques are used to inspect refinery equipment?","Refineries use non-destructive testing techniques such as ultrasonic testing, radiography, magnetic particle inspection, and dye penetrant testing to detect corrosion, cracks, and material defects in pressure vessels, piping, and storage tanks.","Non-Destructive Testing in Refineries, Inspection Systems, refinery engineering","Industry Publication"
"F00215","Asset Management","Practices","Refinery Asset Integrity Management","What is asset integrity management in a refinery context?","Asset integrity management in refineries involves systematic inspection, monitoring, and maintenance planning to ensure equipment such as pressure vessels and piping remain fit for service throughout their operating life, reducing the risk of failures.","Refinery Asset Integrity Management, Asset Management, refinery engineering","Industry Publication"
"F00216","Production Planning","Function","Refinery Production Planning","What does refinery production planning involve?","Refinery production planning involves optimizing crude selection, unit throughput, and product yields to meet demand, quality specifications, and profitability targets, often using linear programming-based planning models.","Refinery Production Planning, Production Planning, refinery engineering","Industry Publication"
"F00217","Procurement","Function","Refinery Crude and Spares Procurement","What does procurement involve in a refinery setting?","Refinery procurement involves sourcing crude oil, catalysts, chemicals, and spare parts from approved vendors while managing cost, quality, and supply reliability requirements.","Refinery Crude and Spares Procurement, Procurement, refinery engineering","Industry Publication"
"F00218","Vendor Management","Practices","Approved Vendor List","Why do refineries maintain an approved vendor list?","Refineries maintain an approved vendor list to ensure that suppliers of critical equipment, chemicals, and services meet quality, safety, and reliability standards required for safe plant operation.","Approved Vendor List, Vendor Management, refinery engineering","Industry Publication"
"F00219","Risk Management","Framework","Enterprise Risk Management in Oil Companies","How do large oil companies typically structure risk management?","Large oil companies typically implement enterprise risk management frameworks covering operational, financial, market, and regulatory risks, often overseen by a dedicated risk management committee reporting to the board.","Enterprise Risk Management in Oil Companies, Risk Management, refinery engineering","Industry Publication"
"F00220","Emergency Management","Planning","Refinery Emergency Response Plan","What does a refinery emergency response plan cover?","A refinery emergency response plan covers procedures for fire, gas leaks, spills, and other incidents, including evacuation routes, emergency contacts, mutual aid arrangements, and roles for on-site emergency response teams.","Refinery Emergency Response Plan, Emergency Management, refinery engineering","Industry Publication"
"F00221","Fire Safety","Systems","Refinery Fire Protection Systems","What fire protection systems are typically installed in refineries?","Refinery fire protection systems typically include fire water networks, foam systems for hydrocarbon fires, fixed and portable fire extinguishers, fire detection sensors, and dedicated fire stations with trained response teams.","Refinery Fire Protection Systems, Fire Safety, refinery engineering","Industry Publication"
"F00222","Environmental Compliance","Monitoring","Continuous Emissions Monitoring","How do refineries monitor air emissions for environmental compliance?","Refineries use Continuous Emissions Monitoring Systems (CEMS) at stacks and process units to track pollutants such as SOx, NOx, and particulate matter, helping ensure compliance with environmental regulatory limits.","Continuous Emissions Monitoring, Environmental Compliance, refinery engineering","Industry Publication"
"F00223","Regulatory Compliance","Bodies","Key Indian Regulatory Bodies for Oil Companies","Which regulatory bodies oversee Indian oil and gas companies like IndianOil?","Indian oil and gas companies such as IndianOil are regulated by bodies including the Ministry of Petroleum & Natural Gas, the Petroleum and Natural Gas Regulatory Board (PNGRB), Oil Industry Safety Directorate (OISD), and state/central pollution control boards.","Key Indian Regulatory Bodies for Oil Companies, Regulatory Compliance, refinery engineering","Industry Publication"
